STATE,NPI,NPPES Provider Last Name,NPPES Provider First Name,NPPES Provider ZIP Code,NPPES Provider State,Specialty Description,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,Long-Acting Opioid Claim Count,Long-Acting Opioid Prescribing Rate,,
AZ,1144658022,FREEZE,NICOLE,85234,AZ,Physician Assistant,132,29,21.96969697,0,0,,
AZ,1881686558,BRYAN,JOSEPH,85020,AZ,Ophthalmology,1082,0,0,0,,,
AZ,1134140064,NEWELL,JUDITH,85020,AZ,Nurse Practitioner,5089,0,0,,,,
AZ,1346312451,MONROE,JOHN,85338,AZ,Family Practice,9549,291,3.047439523,,,,
AZ,1346692290,RUST,AMY,85308,AZ,Physician Assistant,33,0,0,0,,,
AZ,1417070830,WATKINS,RONALD,85018,AZ,Dentist,293,50,17.06484642,0,0,,
AZ,1164819918,CONBOY,TRACY,85260,AZ,Nurse Practitioner,2927,0,0,0,,,
AZ,1972585354,KROTZER,STEVEN,85259,AZ,Internal Medicine,469,0,0,0,,,
AZ,1225443815,RECTOR,TAMARA,85037,AZ,Nurse Practitioner,2516,111,4.411764706,,,,
AZ,1851368443,COAKER,LLOYD,85745,AZ,Pulmonary Disease,775,20,2.580645161,0,0,,
AZ,1750516555,MYERS,SUSAN,85259,AZ,Nurse Practitioner,534,73,13.67041199,31,42.46575343,,
AZ,1881696318,SHOCKEY,GERALD,85213,AZ,Family Practice,11039,192,1.739287979,,,,
AZ,1114972395,PARISE,MARIO,85351,AZ,Internal Medicine,342,0,0,0,,,
AZ,1760840581,MORGAN,JESS,85353,AZ,Nurse Practitioner,334,20,5.988023952,0,0,,
AZ,1023229408,SEETHARAM,ANIL,85006,AZ,Gastroenterology,991,36,3.632694248,,,,
AZ,1588834063,GARDNER,GREG,85724,AZ,Emergency Medicine,76,21,27.63157895,0,0,,
AZ,1184649634,WOLK,JEFFREY,85650,AZ,Urology,690,39,5.652173913,0,0,,
AZ,1346448412,ASHTON,RICHARD,85392,AZ,Dentist,22,0,0,0,,,
AZ,1104888676,MORAN,REBECCA,85044,AZ,Family Practice,2888,73,2.527700831,24,32.87671233,,
AZ,1992113906,KERN,JENNIFER,86403,AZ,Nurse Practitioner,3431,70,2.04022151,,,,
AZ,1336552389,BURGER,SANDRA,86409,AZ,Pharmacist,14,0,0,0,,,
AZ,1023457702,LANDES,LORI,85714,AZ,Family Practice,730,83,11.36986301,14,16.86746988,,
AZ,1720191513,STEINBERG,PAUL,85013,AZ,Family Practice,2807,189,6.733167082,29,15.34391534,,
AZ,1538123427,STOFFER,ROBERT,85029,AZ,Internal Medicine,5162,457,8.853157691,60,13.12910285,,
AZ,1457358764,LUPONE,KATHLEEN,85297,AZ,Neurology,964,144,14.93775934,50,34.72222222,,
AZ,1629251004,FORSBERG,CLAY,85260,AZ,Plastic and Reconstructive Surgery,361,82,22.71468144,0,0,,
AZ,1285779819,GOLDSTEIN,STEVEN,85260,AZ,Dentist,43,0,0,0,,,
AZ,1609832674,MIRZA,IRFAN,86426,AZ,Cardiology,10926,107,0.979315395,,,,
AZ,1992708986,KROYN,JEAN,86326,AZ,Podiatry,302,24,7.947019868,0,0,,
AZ,1366830945,SERRONE,CHRISTOPHER,85015,AZ,Nurse Practitioner,5292,201,3.798185941,,,,
AZ,1134268873,VALLECILLO,CARLOS,85296,AZ,Dentist,43,0,0,0,,,
AZ,1386673416,RISHI,RADHA,85224,AZ,Allergy/ Immunology,306,0,0,0,,,
AZ,1841313020,LAM,TRAVIS,85255,AZ,Dermatology,820,107,13.04878049,0,0,,
AZ,1558559682,ALLISON,JON,85021,AZ,Psychiatry,1965,0,0,0,,,
AZ,1932426012,BARTH,LAURA,85008,AZ,Emergency Medicine,152,27,17.7631579,0,0,,
AZ,1750302402,AMON,JOHN,85364,AZ,Obstetrics & Gynecology,120,0,0,0,,,
AZ,1134108624,AROCHO-VERA,CARMEN,85042,AZ,Internal Medicine,4815,45,0.934579439,16,35.55555556,,
AZ,1073066429,LINDQUIST,JOHN,85008,AZ,Physician Assistant,674,0,0,0,,,
AZ,1760478861,CHAUHAN,NARENDRA,85022,AZ,Psychiatry & Neurology,189,0,0,0,,,
AZ,1770692923,FINCH,MICHAEL,85013,AZ,Pediatric Medicine,25,0,0,0,,,
AZ,1356302962,SOLOMAN,NEHAD,85032,AZ,Rheumatology,3863,238,6.161014755,,,,
AZ,1922317015,FERGUSON,ROBERT,86314,AZ,Pharmacist,16,0,0,0,,,
AZ,1366709578,YANNO,MEGAN,85382,AZ,Physician Assistant,204,0,0,0,,,
AZ,1043278732,GOLL,LAURENE,85712,AZ,Obstetrics & Gynecology,1232,0,0,0,,,
AZ,1831509207,GAINES,VANESSA,85375,AZ,Nurse Practitioner,779,21,2.6957638,0,0,,
AZ,1457641698,KING,CHRISTOPHER,85020,AZ,Internal Medicine,468,22,4.700854701,,,,
AZ,1831507631,MARTIN,BRETT,85142,AZ,Dentist,18,0,0,0,,,
AZ,1831168566,TALWAR,DINESH,85718,AZ,Neurology,80,0,0,0,,,
AZ,1659686897,MILLWARD,JAMES,86022,AZ,Dentist,32,0,0,0,,,
AZ,1467786863,THATCHER,MICHELLE,85704,AZ,Naturopath,24,0,0,0,,,
AZ,1720499023,ARODAKI,FADI,85209,AZ,Osteopathic Manipulative Medicine,200,0,0,,,,
AZ,1376738385,VALENCIA,JUAN,85710,AZ,Dentist,71,25,35.21126761,0,0,,
AZ,1801857180,CARRARA,ALEXA,85719,AZ,Dentist,25,0,0,0,,,
AZ,1427022912,PORTOCARRERO,JAVIER,85022,AZ,Dentist,105,18,17.14285714,0,0,,
AZ,1023132503,PETERS,RONALD,85254,AZ,Internal Medicine,115,0,0,0,,,
AZ,1083098909,ISLAM,SAMEER,85283,AZ,Pharmacist,16,0,0,0,,,
AZ,1972553360,PETERSON,LANA,85210,AZ,Nurse Practitioner,1543,0,0,0,,,
AZ,1740276138,FITZPATRICK,BRIAN,85251,AZ,Neurosurgery,48,26,54.16666667,0,0,,
AZ,1710277751,CHUDHRI,SHARIQ,85724,AZ,Internal Medicine,732,139,18.98907104,15,10.79136691,,
AZ,1912134685,JEFFERY,KYLE,85006,AZ,General Surgery,490,54,11.02040816,0,0,,
AZ,1003299785,CORBELL,NEVA,85712,AZ,Nurse Practitioner,1178,12,1.018675722,,,,
AZ,1821085333,BISCHOFF,DOUGLAS,85712,AZ,Internal Medicine,368,49,13.31521739,,,,
AZ,1669541116,BERKLEY,TERRY,85210,AZ,Dentist,53,0,0,0,,,
AZ,1740274257,THOMPSON,SUSAN,85719,AZ,Anesthesiology,79,0,0,0,,,
AZ,1124201819,PETELIN,PAUL,85260,AZ,General Surgery,42,0,0,,,,
AZ,1811974835,STEWART,BRUCE,85713,AZ,Otolaryngology,100,0,0,0,,,
AZ,1265492433,MGBAM,EDWIN,85147,AZ,Internal Medicine,1138,51,4.481546573,11,21.56862745,,
AZ,1427291269,JATEN,MARIA,85260,AZ,Nurse Practitioner,21,0,0,0,,,
AZ,1467859397,PAGANO,JONATHAN,85721,AZ,Physician Assistant,78,59,75.64102564,,,,
AZ,1992037907,LOVEJOY,DONNA,85383,AZ,Pharmacist,11,0,0,0,,,
AZ,1568462943,SMITH,DAVID,85308,AZ,Vascular Surgery,57,0,0,0,,,
AZ,1013918903,RAMAN,MURLI,85381,AZ,Cardiology,8785,0,0,0,,,
AZ,1033488093,KOVACIK,DANIEL,85028,AZ,Dentist,61,0,0,0,,,
AZ,1477764595,HOOKER,KEVIN,86403,AZ,Obstetrics & Gynecology,287,19,6.620209059,0,0,,
AZ,1841302544,BARK,STUART,85260,AZ,Optometry,342,0,0,0,,,
AZ,1013003748,POTTS,DONALD,85016,AZ,Family Practice,61,0,0,0,,,
AZ,1740624410,REED,JAMES,85204,AZ,Optometry,35,0,0,0,,,
AZ,1790886943,RUEB,DAVID,85023,AZ,Physician Assistant,291,75,25.77319588,0,0,,
AZ,1912934209,COWLEY,LARRY,85220,AZ,Psychiatry,3749,0,0,0,,,
AZ,1215916655,CARSON,DONNA,85224,AZ,Physician Assistant,13,0,0,0,,,
AZ,1609278217,SORR,STEVEN,85258,AZ,Naturopath,43,0,0,0,,,
AZ,1023566817,PACKER,KENDAL,85009,AZ,Physician Assistant,1248,0,0,0,,,
AZ,1659628477,NOTHDURFT,MICHAEL,86314,AZ,Pharmacist,15,0,0,0,,,
AZ,1508075250,SANDHAUS,JERRY,85745,AZ,Physician Assistant,3675,82,2.231292517,,,,
AZ,1083691109,SMITH,JEFFERY,85206,AZ,Physician Assistant,233,31,13.30472103,0,0,,
AZ,1952555229,WALDRON,TAMARA,85206,AZ,Physician Assistant,5474,252,4.603580563,,,,
AZ,1417992033,FREDRIKSON,LORNA,85253,AZ,Dermatology,396,0,0,0,,,
AZ,1982693693,HANCOCK,CRAIG,85204,AZ,Diagnostic Radiology,17,0,0,0,,,
AZ,1063709947,NGUYEN,THI,85719,AZ,Internal Medicine,16,0,0,0,,,
AZ,1952352619,HALL,HUGH,85929,AZ,Podiatry,482,89,18.46473029,,,,
AZ,1902123805,HODGES,TARA,85224,AZ,Dentist,21,0,0,0,,,
AZ,1366466179,HEINZ,WILLIAM,85308,AZ,Dentist,53,14,26.41509434,0,0,,
AZ,1477810760,AKHTER,SULTANA,85206,AZ,Internal Medicine,630,45,7.142857143,,,,
AZ,1053726273,ANAND,SENTHIL,85259,AZ,Internal Medicine,228,0,0,0,,,
AZ,1548610223,NIXON,ACEY,85542,AZ,Dentist,26,0,0,0,,,
AZ,1124294913,IANNOTTI,CHRISTOPHER,85006,AZ,Neurosurgery,44,23,52.27272727,0,0,,
AZ,1457369464,STEINER,JAMES,85257,AZ,Family Practice,6322,406,6.422018349,53,13.05418719,,
AZ,1891810552,MARUSKA,ERIN,85345,AZ,Dentist,21,11,52.38095238,0,0,,
AZ,1003995234,THOMAS,KYLE,85239,AZ,Dentist,73,19,26.02739726,0,0,,
AZ,1104930122,IZENBERG,DAVID,85205,AZ,Family Practice,6044,323,5.344142952,79,24.45820433,,
AZ,1285964312,MEEDER,CORY,86409,AZ,Emergency Medicine,355,42,11.83098592,,,,
AZ,1144219825,STEPHENS,BRIAN,85016,AZ,Optometry,1958,0,0,0,,,
AZ,1942333091,DANIELS,GARY,85225,AZ,Nurse Practitioner,16,0,0,0,,,
AZ,1558772392,LOBIK,JENNIFER,86327,AZ,Nurse Practitioner,2149,480,22.33597022,129,26.875,,
AZ,1013136126,VENERABLE,WALTER,85226,AZ,Dentist,49,0,0,0,,,
AZ,1255603569,HEITZINGER,SARA,85374,AZ,Physician Assistant,29,0,0,0,,,
AZ,1649583238,POLKABLA,REBECCA,85306,AZ,Physician Assistant,3943,78,1.978189196,0,0,,
AZ,1598141517,EBUNOHA,FELICITAS,85746,AZ,Nurse Practitioner,735,17,2.31292517,0,0,,
AZ,1760698419,BITAR,SUHIR,85304,AZ,Pediatric Medicine,15,0,0,0,,,
AZ,1730168303,SCHWAGER,EDWARD,85710,AZ,Family Practice,6064,326,5.375989446,49,15.03067485,,
AZ,1710217393,SMOCK,JOHN,85367,AZ,Physician Assistant,424,0,0,0,,,
AZ,1891216164,KEITH,MELANIE,85704,AZ,Nurse Practitioner,63,0,0,0,,,
AZ,1346629441,WOOD,ERIC,85006,AZ,Student in an Organized Health Care Education/Training Program,94,28,29.78723404,,,,
AZ,1780616870,FROST,LAWRENCE,85020,AZ,Physician Assistant,294,24,8.163265306,0,0,,
AZ,1497751093,MCCABE,BRIAN,85712,AZ,Anesthesiology,227,63,27.75330397,,,,
AZ,1477088474,ZHONG,SHAN,85008,AZ,Student in an Organized Health Care Education/Training Program,30,0,0,0,,,
AZ,1285781401,CLOUSE,DOUG,85224,AZ,Orthopedic Surgery,187,91,48.6631016,0,0,,
AZ,1235245721,ENCISO,VICENTE,85008,AZ,Obstetrics & Gynecology,21,0,0,0,,,
AZ,1851743363,FOX,MARIA,85355,AZ,Nurse Practitioner,1363,28,2.054292003,,,,
AZ,1770879835,MOZAFFARI,BASIM,85258,AZ,Internal Medicine,398,23,5.778894472,,,,
AZ,1770733883,GERLACH,AMY,85212,AZ,Physician Assistant,1145,84,7.336244542,,,,
AZ,1215373808,WILSON,KATHRYN,85015,AZ,Physician Assistant,28,0,0,0,,,
AZ,1851393433,SARGENT,THERESE,85032,AZ,Nurse Practitioner,1899,0,0,0,,,
AZ,1174731483,MUNKEL,CHRISTOPHER,85085,AZ,Dentist,28,0,0,0,,,
AZ,1245427376,OWE,ANDREW,85201,AZ,Dentist,51,20,39.21568628,0,0,,
AZ,1982947461,DOERING,MICHAEL,85374,AZ,Nurse Practitioner,74,0,0,0,,,
AZ,1831428515,BERKNER,KRISTIN,85142,AZ,Naturopath,41,0,0,0,,,
AZ,1669644266,GOWEY,BRANDIE,86001,AZ,Naturopath,222,64,28.82882883,29,45.3125,,
AZ,1679678395,DOSHI,NIKUNJ,85234,AZ,Internal Medicine,14,0,0,0,,,
AZ,1538601273,HORRELL,KASEY,85351,AZ,Physician Assistant,65,22,33.84615385,0,0,,
AZ,1558459651,ONACKI,MICHELLE,85282,AZ,Nurse Practitioner,513,0,0,0,,,
AZ,1508818931,TUCKER,MICHAEL,85301,AZ,Physician Assistant,6177,263,4.25773029,0,0,,
AZ,1366808610,ETHINGTON,BROOKE,85205,AZ,Physician Assistant,190,0,0,0,,,
AZ,1629042635,JOHNSON,JOSEPH,85054,AZ,General Surgery,38,0,0,0,,,
AZ,1205238870,PENROD,RYAN,85054,AZ,Physician Assistant,339,0,0,0,,,
AZ,1174939623,BILAL,JAWAD,85724,AZ,General Acute Care Hospital,105,0,0,0,,,
AZ,1437237625,ESTEVES,JOAO,85008,AZ,Psychiatry,781,0,0,0,,,
AZ,1477557726,SANFORD,STACEY,85251,AZ,Dentist,124,31,25,0,0,,
AZ,1750486445,TIBBETTS,TERESA,86403,AZ,Family Practice,8876,262,2.951780081,,,,
AZ,1245401652,WHITFIELD,MYLES,85724,AZ,Physician Assistant,47,24,51.06382979,0,0,,
AZ,1326488149,AYLWARD,TANYA,85006,AZ,Internal Medicine,225,0,0,0,,,
AZ,1508916933,MCMASTER,PAUL,85542,AZ,Podiatry,58,0,0,0,,,
AZ,1942532734,BUNDCHEN,INGE,86301,AZ,Nurse Practitioner,52,0,0,0,,,
AZ,1811249501,HERNANDEZ,CLAUDIA,85147,AZ,Nurse Practitioner,33,0,0,0,,,
AZ,1194848002,ERDMANN,NANCY,85283,AZ,Nurse Practitioner,1732,14,0.808314088,0,0,,
AZ,1629075130,SMITH,JOHNNY,85382,AZ,Dentist,161,32,19.8757764,0,0,,
AZ,1124014196,RUILOBA,ELIAS,86401,AZ,Psychiatry,1244,16,1.286173633,,,,
AZ,1326011487,CHARI,SURESH,85259,AZ,Gastroenterology,25,0,0,,,,
AZ,1801868088,PFISTER,DARYL,85204,AZ,Ophthalmology,2700,0,0,0,,,
AZ,1750357836,VASIQ,MUHAMMAD,85295,AZ,Internal Medicine,353,20,5.66572238,0,0,,
AZ,1326418526,L'HUILLIER,SEAN,86401,AZ,Nurse Practitioner,5332,305,5.720180045,19,6.229508197,,
AZ,1265665467,CLARKE,KATHRYN,85704,AZ,Nurse Practitioner,1009,155,15.3617443,33,21.29032258,,
AZ,1336479435,CRACIUNESCU,AMALIA,85308,AZ,Nurse Practitioner,1261,28,2.220459952,0,0,,
AZ,1780804294,HREHA,JEFFERY,86336,AZ,Dentist,123,0,0,0,,,
AZ,1205813318,COOK,MARSHALL,85258,AZ,Orthopedic Surgery,15,0,0,0,,,
AZ,1801849229,SHAPIRO,CATHY,85308,AZ,Nurse Practitioner,44,0,0,0,,,
AZ,1992116446,SWEGINNIS,TERI,86301,AZ,Nurse Practitioner,275,0,0,0,,,
AZ,1497727192,LALOUDAKIS,DESPINA,85048,AZ,Nurse Practitioner,4886,155,3.172329104,,,,
AZ,1184010852,MELLEN,GRACE,85253,AZ,Nurse Practitioner,1485,0,0,0,,,
AZ,1124059852,RICHARDSON,PAULA,85048,AZ,Physician Assistant,102,17,16.66666667,0,0,,
AZ,1215925821,MACCOLLUM,BARBARA,85006,AZ,Gastroenterology,905,0,0,0,,,
AZ,1033262704,LUFT,JOHN,85716,AZ,Dentist,18,0,0,0,,,
AZ,1578550182,MILES,KRYSTAL,85704,AZ,Dentist,66,23,34.84848485,0,0,,
AZ,1942534565,WILLIAMS,ALEXANDER,85008,AZ,Emergency Medicine,292,72,24.65753425,,,,
AZ,1245295864,EADES,EDWARD,85712,AZ,Plastic and Reconstructive Surgery,77,47,61.03896104,0,0,,
AZ,1235544677,MARTINEZ,CAROLINA,85724,AZ,General Surgery,37,18,48.64864865,0,0,,
AZ,1972738672,FISHMAN,MATTHEW,85032,AZ,Orthopedic Surgery,38,0,0,0,,,
AZ,1336178417,PELOPIDA,TINA,85032,AZ,Obstetrics & Gynecology,79,0,0,0,,,
AZ,1902254154,ORTA,DANIEL,85713,AZ,Internal Medicine,282,12,4.255319149,,,,
AZ,1073612610,SIMON,ARMITY,85260,AZ,Obstetrics & Gynecology,50,0,0,0,,,
AZ,1699959635,LEE,RACHEL,86001,AZ,Family Practice,501,30,5.988023952,0,0,,
AZ,1669502084,KUSNE,SHARON,85013,AZ,Nurse Practitioner,602,0,0,0,,,
AZ,1275684284,BRIONES,SUSAN,85224,AZ,Family Practice,9030,603,6.677740864,109,18.07628524,,
AZ,1295775302,SCHULMAN,JEAN,85381,AZ,Hematology-Oncology,1223,34,2.78004906,,,,
AZ,1861491342,USMANI,NAJMA,85251,AZ,Pulmonary Disease,79,0,0,0,,,
AZ,1740718386,LINES,GEOFFERY,85349,AZ,Dentist,50,15,30,0,0,,
AZ,1134216583,MADSEN,SUSAN,85254,AZ,Internal Medicine,2432,112,4.605263158,0,0,,
AZ,1063623148,ZELL,DEBORAH,85381,AZ,Dermatology,440,30,6.818181818,0,0,,
AZ,1477816841,MILEK,GAYLE,85224,AZ,Nurse Practitioner,101,0,0,0,,,
AZ,1255461174,ALVAREZ,LUISA,86504,AZ,Optometry,15,0,0,0,,,
AZ,1750750568,LOVING,SACHA,85142,AZ,Nurse Practitioner,1681,20,1.189767995,,,,
AZ,1679540074,LEE,VICTORIA,85283,AZ,General Surgery,202,91,45.04950495,0,0,,
AZ,1760487367,KAYE,MITCHELL,85251,AZ,Urology,1805,69,3.822714681,0,0,,
AZ,1841486420,BURGESS,KERRY,86442,AZ,Dentist,173,64,36.99421965,0,0,,
AZ,1679512198,GINGOLD,CORY,86001,AZ,Physician Assistant,460,21,4.565217391,0,0,,
AZ,1275585440,OGG,BRUCE,85643,AZ,Emergency Medicine,330,94,28.48484849,,,,
AZ,1619078029,KOHRING,GARY,85210,AZ,Family Practice,2685,292,10.87523278,31,10.61643836,,
AZ,1154318665,RETAY,LAUREL,85282,AZ,Internal Medicine,592,0,0,0,,,
AZ,1003285834,TORGERSON,SPENCER,85142,AZ,Dentist,18,0,0,0,,,
AZ,1366426728,WESTERLUND,LYNSEY,85259,AZ,Physician Assistant,368,63,17.11956522,13,20.63492064,,
AZ,1477625465,SUD,ROHIT,85224,AZ,Hematology-Oncology,769,51,6.631989597,17,33.33333333,,
AZ,1699976522,SIDDARAMU,RAJIV,85306,AZ,Internal Medicine,46,0,0,0,,,
AZ,1063632149,SMITH,STEPHEN,85032,AZ,Vascular Surgery,459,30,6.535947712,0,0,,
AZ,1154396216,TRAINOR,MICHAEL,86305,AZ,Orthopedic Surgery,623,118,18.94060995,0,0,,
AZ,1013940485,DURFEE,MARY,85741,AZ,Obstetrics & Gynecology,160,0,0,0,,,
AZ,1841276722,HUSTON,CHRISTOPHER,85016,AZ,Physical Medicine and Rehabilitation,150,44,29.33333333,0,0,,
AZ,1215030226,PATEL,NAGIN,85710,AZ,General Surgery,40,0,0,0,,,
AZ,1225038946,PEYMAN,GHOLAM,85375,AZ,Ophthalmology,49,0,0,0,,,
AZ,1376600171,DAMGAARD,KAREN,86004,AZ,Physician Assistant,1494,0,0,0,,,
AZ,1558388272,DEAL,RANDALL,85297,AZ,Pharmacist,14,0,0,0,,,
AZ,1861473506,HERNANDEZ,EDGAR,85224,AZ,General Surgery,219,80,36.52968037,0,0,,
AZ,1487619607,PRAWZINSKY,ADAM,85016,AZ,Otolaryngology,35,0,0,0,,,
AZ,1053605592,CARHARTT,WYLIE,85042,AZ,Internal Medicine,1447,60,4.146510021,,,,
AZ,1548251630,STANLEY,JEAN,85012,AZ,Nurse Practitioner,3172,219,6.904161412,37,16.89497717,,
AZ,1225019995,DORAME,ERNEST,85032,AZ,Pediatric Medicine,12,0,0,0,,,
AZ,1174887392,SCHNIEDER,LAURA,85331,AZ,Dentist,12,0,0,0,,,
AZ,1487066106,GRAHAM,MATTHEW,85392,AZ,Physician Assistant,206,0,0,0,,,
AZ,1942377155,KRYGIER,ANDREW,85260,AZ,Dentist,117,21,17.94871795,0,0,,
AZ,1639126980,LITTLE,ESTER,85006,AZ,Internal Medicine,1826,32,1.752464403,17,53.125,,
AZ,1174547939,DEAN,GAYLE,85712,AZ,Obstetrics & Gynecology,87,0,0,0,,,
